letter,language,coverage,title,id,file
#,беларуская,New Testament,Новы Запавет і Кнігі Старога Запавету,beln,#/беларуская/New Testament — Новы Запавет і Кнігі Старога Запавету.pdf
#,עברית,Portions,Westminster Leningrad Codex,hebwlc,#/עברית/Portions — Westminster Leningrad Codex.pdf
#,اردو,Full Bible,Biblica® آزادانہ اردو ہم عصر ترجمہ,urdoucv,#/اردو/Full Bible — Biblica® آزادانہ اردو ہم عصر ترجمہ.pdf
#,العهد الجديد بالدارجة التونسية 2022,New Testament,العهد الجديد بالدارجة التونسية 2022,aeb,#/العهد الجديد بالدارجة التونسية 2022/New Testament — العهد الجديد بالدارجة التونسية 2022.pdf
#,नेपाली,Full Bible,Biblica® नेपाली समकालीन सर्वसुलभ संस्करण,npioncb,#/नेपाली/Full Bible — Biblica® नेपाली समकालीन सर्वसुलभ संस्करण.pdf
#,मराठी,Full Bible,Biblica® मराठी समकालीन स्वतंत्र संस्करण,marc,#/मराठी/Full Bible — Biblica® मराठी समकालीन स्वतंत्र संस्करण.pdf
#,ಕನ್ನಡ,New Testament,ದೆವಾಚಿ ಖರಿ ಖಬರ್,kans,#/ಕನ್ನಡ/New Testament — ದೆವಾಚಿ ಖರಿ ಖಬರ್.pdf
#,മലയാളം,Full Bible,Biblica® സ്വതന്ത്രം സമകാലിക മലയാളവിവർത്തനം,malc,#/മലയാളം/Full Bible — Biblica® സ്വതന്ത്രം സമകാലിക മലയാളവിവർത്തനം.pdf
A,'Auhelawa,New Testament,YAUBADA YANA WALO YEMIDI VAUVAUNA,kud,A/'Auhelawa/New Testament — YAUBADA YANA WALO YEMIDI VAUVAUNA.pdf
A,Abau,New Testament,God so Sokior-ok Iwon,aau,A/Abau/New Testament — God so Sokior-ok Iwon.pdf
A,Abureni,Portions,Abureni NT Portions,mgj,A/Abureni/Portions — Abureni NT Portions.pdf
A,Achi,New Testament,I 'utz laj tzij re i dios,acr-acc,A/Achi/New Testament — I 'utz laj tzij re i dios.pdf
A,Achi,New Testament,Ri utzilaj tzij re ri kanimajawal Jesucristo,acrNNT,A/Achi/New Testament — Ri utzilaj tzij re ri kanimajawal Jesucristo.pdf
A,Achi,New Testament,Ri utzilaj tzij re ri kanimajawal Jesucristo,acrTNT,A/Achi/New Testament — Ri utzilaj tzij re ri kanimajawal Jesucristo (acrTNT).pdf
A,Achuar-shiwiar,New Testament,Achuar Peru: Yuse Chichame Aarmauri,acuNT,A/Achuar-shiwiar/New Testament — Achuar Peru Yuse Chichame Aarmauri.pdf
A,Adnyamathanha,Portions,Adnyamathanha Christmas Story,adt,A/Adnyamathanha/Portions — Adnyamathanha Christmas Story.pdf
A,Adzera,Portions,Adzera Baibel,adz,A/Adzera/Portions — Adzera Baibel.pdf
A,Agarabi,New Testament,YISASINI KAMA VAYA,agd,A/Agarabi/New Testament — YISASINI KAMA VAYA.pdf
A,"Agta, Casiguran Dumagat",New Testament,Bigu a tipan: I mahusay a baheta para ta panahun tam,dgc,"A/Agta, Casiguran Dumagat/New Testament — Bigu a tipan I mahusay a baheta para ta panahun tam.pdf"
A,"Agta, Central Cagayan",New Testament,Uhohug Na Namaratu Gafu Te Hesus Kristu,agt,"A/Agta, Central Cagayan/New Testament — Uhohug Na Namaratu Gafu Te Hesus Kristu.pdf"
A,Aguacateco,New Testament,Yi Antiw Bible / Yi Ac'aj Testament,aguBl,A/Aguacateco/New Testament — Yi Antiw Bible Yi Ac'aj Testament.pdf
A,Aguaruna,New Testament,Awajún [Aguaruna],agr,A/Aguaruna/New Testament — Awajún [Aguaruna].pdf
A,Agutaynen,New Testament,ANG BITALA TANG DIOS: Ba-long Inigoan,agn,A/Agutaynen/New Testament — ANG BITALA TANG DIOS Ba-long Inigoan.pdf
A,Ahirani,New Testament,प्रेम संदेश,ahr,A/Ahirani/New Testament — प्रेम संदेश.pdf
A,Ajiya,Portions,Ajigha NT Portion,idc,A/Ajiya/Portions — Ajigha NT Portion.pdf
A,Ajyíninka Apurucayali,New Testament,KAMIITHARI ÑAANTSI,cpcNT,A/Ajyíninka Apurucayali/New Testament — KAMIITHARI ÑAANTSI.pdf
A,Akateko,New Testament,Ja' An Nuevo Testamento,knjNT,A/Akateko/New Testament — Ja' An Nuevo Testamento.pdf
A,Akawaio,New Testament,Wakʉ Itekare: Emenna' Pe Ekonekan Nɨto',akeNT,A/Akawaio/New Testament — Wakʉ Itekare Emenna' Pe Ekonekan Nɨto'.pdf
A,Akoose,New Testament,Melɛ̌ Mékɔ̄ɔ̄lē,bssNT,A/Akoose/New Testament — Melɛ̌ Mékɔ̄ɔ̄lē.pdf
A,Akukem,Portions,Mak Osɨrisira Akaman Aghuuŋ ko Iesusɨm Mbɨsevisir Gumasi,spm,A/Akukem/Portions — Mak Osɨrisira Akaman Aghuuŋ ko Iesusɨm Mbɨsevisir Gumasi.pdf
A,Alaba-K'abeena,New Testament,ሃዕሮ ወኣድ መጻፈ,alw,A/Alaba-K'abeena/New Testament — ሃዕሮ ወኣድ መጻፈ.pdf
A,Alamblak,New Testament,Bro Nkifrarhu Mrokfot,amp,A/Alamblak/New Testament — Bro Nkifrarhu Mrokfot.pdf
A,Alekano or Gahuku,New Testament,Monoq Gotola Gosohaq,gah,A/Alekano or Gahuku/New Testament — Monoq Gotola Gosohaq.pdf
A,Algonquin,New Testament,Kije Manido Odikido8in: Ocki Mazinaigan,alqALGNT,A/Algonquin/New Testament — Kije Manido Odikido8in Ocki Mazinaigan.pdf
A,Alune,New Testament,Janji beluke,alpNT,A/Alune/New Testament — Janji beluke.pdf
A,Alyawarr,Portions,Alyawarr Bible,aly,A/Alyawarr/Portions — Alyawarr Bible.pdf
A,Ama,New Testament,Kotoni Imo Itouniyaimo,amm,A/Ama/New Testament — Kotoni Imo Itouniyaimo.pdf
A,Amanab,New Testament,Godna mo Awai mona go,amn-amanab,A/Amanab/New Testament — Godna mo Awai mona go.pdf
A,Amanab,New Testament,Godna mo Awai mona go,amn-n,A/Amanab/New Testament — Godna mo Awai mona go (amn-n).pdf
A,Amarakaeri,New Testament,Jesucristo oy oa’pak: Kenda Jesucristoa; monigka’uyatenok; Diostaj mo’manopo’yarea’ika’ne,amrNT,A/Amarakaeri/New Testament — Jesucristo oy oa’pak Kenda Jesucristoa; monigka’uyatenok; Diostaj mo’manopo’yarea’ika’ne.pdf
A,Amarasi,New Testament,Uisneno In Kabin ma Prenat: Rais Manba'an Fe'u nok Reta' Ahun-hunut,aaz,A/Amarasi/New Testament — Uisneno In Kabin ma Prenat Rais Manba'an Fe'u nok Reta' Ahun-hunut.pdf
A,"Ambae, East",Portions,Waratau Siaga Tatuei mo Vilegi,omb,"A/Ambae, East/Portions — Waratau Siaga Tatuei mo Vilegi.pdf"
A,Ambai,New Testament,Sempaisi Ne Kaiwo Mirarebanai,amk,A/Ambai/New Testament — Sempaisi Ne Kaiwo Mirarebanai.pdf
A,"Ambrym, Southeast",New Testament,Vanuvei Eo e sepinien Vatlongos na mol-Vatimol xil niutestamen e rute te oltestamen,tvk,"A/Ambrym, Southeast/New Testament — Vanuvei Eo e sepinien Vatlongos na mol-Vatimol xil niutestamen e rute te oltestamen.pdf"
A,Ambulas,New Testament,Gotna Kudi,abt-maprik,A/Ambulas/New Testament — Gotna Kudi.pdf
A,Amele,New Testament,BAL CEHEC JE HAUN,aey,A/Amele/New Testament — BAL CEHEC JE HAUN.pdf
A,Amharic,New Testament,መጽሐፍ ቅዱስ,amh,A/Amharic/New Testament — መጽሐፍ ቅዱስ.pdf
A,Amo,New Testament,Amo New Testament,amo,A/Amo/New Testament — Amo New Testament.pdf
