letter,language,coverage,title,id,file
F,"French",Full Bible,"Sainte Bible libre pour le monde",frasbl,F/French/Full Bible — Sainte Bible libre pour le monde.html
E,"English",Full Bible,"World English Bible Classic",eng-web,E/English/Full Bible — World English Bible Classic.html
E,"English",Full Bible,"World English Bible British Edition with Deuterocanon",eng-webbe,E/English/Full Bible — World English Bible British Edition with Deuterocanon.html
E,"English",Full Bible,"World English Bible Updated",engwebu,E/English/Full Bible — World English Bible Updated.html
P,"Portuguese",Full Bible,"Bíblia Portuguesa Mundial",porbrbsl,P/Portuguese/Full Bible — Bíblia Portuguesa Mundial.html
S,"Spanish",Full Bible,"Santa Biblia libre Latinoamericano",spabll,S/Spanish/Full Bible — Santa Biblia libre Latinoamericano.html
S,"Spanish",Full Bible,"Santa Biblia libre para el mundo",spablm,S/Spanish/Full Bible — Santa Biblia libre para el mundo.html
E,"English",Full Bible,"American Standard Version Byzantine Text",engasvbt,E/English/Full Bible — American Standard Version Byzantine Text.html
C,"Chin, Matu",Full Bible,"Baibal Olcim",hltmcsb,C/Chin, Matu/Full Bible — Baibal Olcim.html
E,"English",Full Bible,"Revised Version with Apocrypha (1895)",eng-rv,E/English/Full Bible — Revised Version with Apocrypha (1895).html
E,"English",Full Bible,"King James Version + Apocrypha",eng-kjv,E/English/Full Bible — King James Version + Apocrypha.html
E,"English",Full Bible,"KJV Cambridge Paragraph Bible",engkjvcpb,E/English/Full Bible — KJV Cambridge Paragraph Bible.html
E,"English",Full Bible,"Wycliffe's Bible with Modern Spelling",engwyc2017,E/English/Full Bible — Wycliffe's Bible with Modern Spelling.html
E,"English",Full Bible,"Wycliffe's Bible with Modern Spelling (Enhanced)",engwyc2018,E/English/Full Bible — Wycliffe's Bible with Modern Spelling (Enhanced).html
E,"English",Full Bible,"Douay-Rheims 1899",engDRA,E/English/Full Bible — Douay-Rheims 1899.html
L,"Latin",Full Bible,"Bibbia Vulgata Clementina na 1598",latVUC,L/Latin/Full Bible — Bibbia Vulgata Clementina na 1598.html
F,"French",Full Bible,"Sainte Bible néo-Crampon Libre",francl,F/French/Full Bible — Sainte Bible néo-Crampon Libre.html
S,"Shi",Full Bible,"BIBLIYA NTAGATIFU OMU MASHI",shr,S/Shi/Full Bible — BIBLIYA NTAGATIFU OMU MASHI.html
C,"Croatian",New Testament,"Sveta Biblija",hrv,C/Croatian/New Testament — Sveta Biblija.html
E,"English",New Testament,"World English Bible (Catholic)",eng-web-c,E/English/New Testament — World English Bible (Catholic).html
D,"Dutch",New Testament,"De Heilige Schrift, Petrus Canisiusvertaling, 1939",nld1939,D/Dutch/New Testament — De Heilige Schrift, Petrus Canisiusvertaling, 1939.html
M,"Melanesian Pidgin",Full Bible,"Buk Baibel long Tok Pisin",tpi,M/Melanesian Pidgin/Full Bible — Buk Baibel long Tok Pisin.html
H,"Huli",Full Bible,"Habo nalolene bi gahenge lo winigo ogo",hui,H/Huli/Full Bible — Habo nalolene bi gahenge lo winigo ogo.html
